시군구,단지명,전용면적(㎡),계약년월,계약일,계약날짜,층,건축나이,거래건수,기준금리,법정동코드,지하철역수,거래금액(만원)
광주광역시 광산구 도산동,대덕1,31.59,202307,27,2023-07-27,8,33,19,3.5,2920010200,1,5500
광주광역시 광산구 도산동,대덕1,39.15,202307,28,2023-07-28,7,33,19,3.5,2920010200,1,7200
광주광역시 광산구 도산동,대주피오레1차,84.98,202307,5,2023-07-05,4,23,19,3.5,2920010200,1,23250
광주광역시 광산구 도산동,서경,59.79,202307,13,2023-07-13,11,25,19,3.5,2920010200,1,14200
광주광역시 광산구 도산동,서라,59.31,202307,13,2023-07-13,12,26,19,3.5,2920010200,1,12300
광주광역시 광산구 도산동,송정우방아이유쉘아파트,70.9225,202307,8,2023-07-08,12,4,19,3.5,2920010200,1,31500
광주광역시 광산구 도산동,송정우방아이유쉘아파트,84.9538,202307,21,2023-07-21,12,4,19,3.5,2920010200,1,43000
광주광역시 광산구 도산동,우방아이유쉘,59.7926,202307,8,2023-07-08,10,7,19,3.5,2920010200,1,22700
광주광역시 광산구 도산동,우방아이유쉘,59.8407,202307,23,2023-07-23,10,7,19,3.5,2920010200,1,23000
광주광역시 광산구 도산동,우방아이유쉘,59.5443,202307,27,2023-07-27,3,7,19,3.5,2920010200,1,22000
광주광역시 광산구 도산동,우방아이유쉘,79.6397,202307,28,2023-07-28,12,7,19,3.5,2920010200,1,30900
광주광역시 광산구 도산동,우방아이유쉘,79.6397,202307,28,2023-07-28,12,7,19,3.5,2920010200,1,30900
광주광역시 광산구 도산동,우방아이유쉘,79.6397,202307,29,2023-07-29,7,7,19,3.5,2920010200,1,29300
광주광역시 광산구 도산동,카이스트빌1차,34.0522,202307,31,2023-07-31,9,21,19,3.5,2920010200,1,8600
광주광역시 광산구 도산동,호반1,59.95,202307,8,2023-07-08,2,28,19,3.5,2920010200,1,10000
광주광역시 광산구 도산동,호반1,59.95,202307,18,2023-07-18,12,28,19,3.5,2920010200,1,13000
광주광역시 광산구 도산동,호반2차,59.95,202307,12,2023-07-12,5,25,19,3.5,2920010200,1,13000
광주광역시 광산구 도산동,호반2차,59.95,202307,15,2023-07-15,2,25,19,3.5,2920010200,1,13000
광주광역시 광산구 도산동,호반2차,59.95,202307,28,2023-07-28,8,25,19,3.5,2920010200,1,14300
광주광역시 광산구 도천동,중흥1차,59.94,202307,5,2023-07-05,1,28,2,3.5,2920011300,0,8800
광주광역시 광산구 도천동,중흥2차,59.76,202307,15,2023-07-15,15,28,2,3.5,2920011300,0,9400
광주광역시 광산구 비아동,호반,59.88,202307,26,2023-07-26,3,25,1,3.5,2920011200,0,12500
광주광역시 광산구 산월동,부영1차,84.9763,202307,11,2023-07-11,1,20,17,3.5,2920011700,0,25100
광주광역시 광산구 산월동,부영1차,84.9763,202307,26,2023-07-26,2,20,17,3.5,2920011700,0,26500
광주광역시 광산구 산월동,부영2차,84.7886,202307,1,2023-07-01,11,19,17,3.5,2920011700,0,27000
광주광역시 광산구 산월동,부영2차,84.7886,202307,13,2023-07-13,10,19,17,3.5,2920011700,0,26000
광주광역시 광산구 산월동,부영2차,84.7886,202307,21,2023-07-21,13,19,17,3.5,2920011700,0,25500
광주광역시 광산구 산월동,부영3,84.7886,202307,19,2023-07-19,12,18,17,3.5,2920011700,0,26400
광주광역시 광산구 산월동,부영그린타운,84.8512,202307,17,2023-07-17,6,18,17,3.5,2920011700,0,31000
광주광역시 광산구 산월동,부영그린타운,84.8512,202307,23,2023-07-23,14,18,17,3.5,2920011700,0,30500
광주광역시 광산구 산월동,부영사랑으로7차,84.9931,202307,18,2023-07-18,3,16,17,3.5,2920011700,0,30800
광주광역시 광산구 산월동,첨단부영6차,84.9931,202307,8,2023-07-08,1,17,17,3.5,2920011700,0,29500
광주광역시 광산구 산월동,호반리젠시빌1,84.3979,202307,14,2023-07-14,15,20,17,3.5,2920011700,0,24000
광주광역시 광산구 산월동,호반리젠시빌2,84.3979,202307,18,2023-07-18,5,20,17,3.5,2920011700,0,29000
광주광역시 광산구 산월동,호반리젠시빌3,84.3979,202307,13,2023-07-13,1,20,17,3.5,2920011700,0,26000
광주광역시 광산구 산월동,호반리젠시빌3,72.504,202307,17,2023-07-17,9,20,17,3.5,2920011700,0,27000
광주광역시 광산구 산월동,호반리젠시빌3,72.504,202307,28,2023-07-28,10,20,17,3.5,2920011700,0,30100
광주광역시 광산구 산월동,호반리젠시빌4,83.7154,202307,4,2023-07-04,3,20,17,3.5,2920011700,0,28700
광주광역시 광산구 산월동,호반리젠시빌4,83.7154,202307,27,2023-07-27,15,20,17,3.5,2920011700,0,34400
광주광역시 광산구 산정동,다사로움2단지,59.9538,202307,5,2023-07-05,11,14,19,3.5,2920012700,0,20900
광주광역시 광산구 산정동,다사로움2단지,59.9538,202307,12,2023-07-12,14,14,19,3.5,2920012700,0,19500
광주광역시 광산구 산정동,다사로움2단지,59.9451,202307,21,2023-07-21,13,14,19,3.5,2920012700,0,20200
광주광역시 광산구 산정동,다사로움2단지,59.9368,202307,22,2023-07-22,8,14,19,3.5,2920012700,0,23000
광주광역시 광산구 산정동,부영애시앙1차(산정셀트리움),84.8198,202307,4,2023-07-04,10,15,19,3.5,2920012700,0,30000
광주광역시 광산구 산정동,부영애시앙1차(산정셀트리움),84.8198,202307,12,2023-07-12,12,15,19,3.5,2920012700,0,27000
광주광역시 광산구 산정동,부영애시앙1차(산정셀트리움),84.8198,202307,19,2023-07-19,16,15,19,3.5,2920012700,0,30000
광주광역시 광산구 산정동,부영애시앙1차(산정셀트리움),84.8198,202307,19,2023-07-19,15,15,19,3.5,2920012700,0,28000
광주광역시 광산구 산정동,부영애시앙2차,84.8198,202307,5,2023-07-05,13,15,19,3.5,2920012700,0,27000
광주광역시 광산구 산정동,부영애시앙2차,84.8198,202307,19,2023-07-19,20,15,19,3.5,2920012700,0,32000
광주광역시 광산구 산정동,부영애시앙2차,84.8198,202307,21,2023-07-21,11,15,19,3.5,2920012700,0,28900
광주광역시 광산구 산정동,부영애시앙2차,84.8198,202307,22,2023-07-22,13,15,19,3.5,2920012700,0,32500
광주광역시 광산구 산정동,부영애시앙2차,84.8198,202307,25,2023-07-25,19,15,19,3.5,2920012700,0,27900
광주광역시 광산구 산정동,어등산대방노블랜드,155.494,202307,15,2023-07-15,3,10,19,3.5,2920012700,0,74500
광주광역시 광산구 산정동,태양,32.28,202307,17,2023-07-17,9,35,19,3.5,2920012700,0,6000
