법정동코드,법정동명
2900000000,광주광역시
2911000000,광주광역시 동구
2911010100,광주광역시 동구 대인동
2911010200,광주광역시 동구 금남로5가
2911010300,광주광역시 동구 충장로5가
2911010400,광주광역시 동구 수기동
2911010500,광주광역시 동구 대의동
2911010600,광주광역시 동구 궁동
2911010700,광주광역시 동구 장동
2911010800,광주광역시 동구 동명동
2911010900,광주광역시 동구 계림동
2911011000,광주광역시 동구 산수동
2911011100,광주광역시 동구 지산동
2911011200,광주광역시 동구 남동
2911011300,광주광역시 동구 광산동
2911011400,광주광역시 동구 금동
2911011500,광주광역시 동구 호남동
2911011600,광주광역시 동구 불로동
2911011700,광주광역시 동구 황금동
2911011800,광주광역시 동구 서석동
2911011900,광주광역시 동구 소태동
2911012000,광주광역시 동구 용연동
2911012100,광주광역시 동구 운림동
2911012200,광주광역시 동구 학동
2911012300,광주광역시 동구 월남동
2911012400,광주광역시 동구 선교동
2911012500,광주광역시 동구 내남동
2911012600,광주광역시 동구 용산동
2911012700,광주광역시 동구 충장로1가
2911012800,광주광역시 동구 충장로2가
2911012900,광주광역시 동구 충장로3가
2911013000,광주광역시 동구 충장로4가
2911013100,광주광역시 동구 금남로1가
2911013200,광주광역시 동구 금남로2가
2911013300,광주광역시 동구 금남로3가
2911013400,광주광역시 동구 금남로4가
2914000000,광주광역시 서구
2914010400,광주광역시 서구 양동
2914010600,광주광역시 서구 농성동
2914011500,광주광역시 서구 광천동
2914011600,광주광역시 서구 유촌동
2914011700,광주광역시 서구 덕흥동
2914011800,광주광역시 서구 쌍촌동
2914011900,광주광역시 서구 화정동
2914012000,광주광역시 서구 치평동
2914012100,광주광역시 서구 내방동
2914012500,광주광역시 서구 서창동
2914012600,광주광역시 서구 세하동
2914012700,광주광역시 서구 용두동
2914012800,광주광역시 서구 풍암동
2914012900,광주광역시 서구 벽진동
2914013000,광주광역시 서구 금호동
2914013100,광주광역시 서구 마륵동
2914013200,광주광역시 서구 매월동
2914013300,광주광역시 서구 동천동
2915500000,광주광역시 남구
